,lng,lat,API_rejected
"Pärnu maakond, Varbla vald, Saulepi küla, Panga",23.790791,58.346467,
"Harju maakond, Viimsi vald, Pärnamäe küla, Kesk-Kaare tee 48",24.8601656,59.5051661,
"Harju maakond, Tallinn, Haabersti linnaosa, Vaalu tn 3",24.6036992,59.43412360000001,
"Tartu maakond, Tartu linn, Kraavikalda tn 22",26.7742406,58.35000420000001,
"Harju maakond, Rae vald, Peetri alevik, Vägeva tee 13",24.8156745,59.39190350000001,
"Harju maakond, Rae vald, Peetri alevik, Vägeva tee 23",24.809269,59.39152559999999,
"Harju maakond, Saku vald, Kasemetsa küla, Käopesa tee 3",24.6712884,59.27419599999999,
"Viljandi maakond, Viljandi vald, Peetrimõisa küla, Õunaaia tee 16",25.6275999,58.3854,
"Harju maakond, Viimsi vald, Haabneeme alevik, Talu tee 13",24.8187803,59.5182596,
"Pärnu maakond, Sauga vald, Tammiste küla, Pohla tn 4",24.5946,58.38199989999999,
"Harju maakond, Viimsi vald, Rohuneeme küla, Kivineeme tee 14",24.7998776,59.56431480000001,
"Harju maakond, Viimsi vald, Pärnamäe küla, Väike-Kaare tee 10",24.852096300000003,59.50528539999999,
"Järva maakond, Türi vald, Türi linn, Raua tn 14",25.419675,58.8121152,
"Harju maakond, Rae vald, Rae küla, Kaasiku tee 15",24.8628167,59.387022400000006,
"Ida-Viru maakond, Avinurme vald, Avinurme alevik, Rakvere tn 61c",26.8442334,58.98490200000001,
"Harju maakond, Saue vald, Koidu küla, Äärekoidu tee 9",,,True
"Saare maakond, Salme vald, Tehumardi küla, Tagametsa",22.2463,58.1806,
"Tartu maakond, Puhja vald, Puhja alevik, Niidu tn 1",26.31283,58.33848929999999,
"Harju maakond, Maardu linn, Pirnipuu pst 46c",24.9361875,59.476472,
"Harju maakond, Tallinn, Nõmme linnaosa, Õie tn 2/1",24.688872,59.38572929999999,
"Harju maakond, Tallinn, Haabersti linnaosa, Rajapere tn 1b",24.583985,59.4450934,
"Tartu maakond, Ülenurme vald, Soinaste küla, Talu tee 8",26.6917768,58.32457119999999,
"Harju maakond, Tallinn, Pirita linnaosa, Ussilaka tee 18",24.8480894,59.4795537,
"Harju maakond, Harku vald, Tabasalu alevik, Sarapuu põik 2",24.549366,59.4266568,
"Tartu maakond, Tartu linn, Pootsmani tn 20",26.697937,58.4037337,
"Tartu maakond, Tartu vald, Vahi alevik, Mõisatalli tn 9",26.7248456,58.4046374,
"Pärnu maakond, Varbla vald, Paatsalu küla, Salumäe",23.699691,58.52956,
"Harju maakond, Saue vald, Koidu küla, Koidu põik 3",,,True
"Harju maakond, Rae vald, Peetri alevik, Tähnase põik 1",24.821249,59.4027875,
"Harju maakond, Kiili vald, Kangru alevik, Maikellukese tn 4",24.7825756,59.34964369999999,
"Harju maakond, Viimsi vald, Haabneeme alevik, Tammepõllu tee 3",24.8342722,59.51368489999999,
"Harju maakond, Tallinn, Pirita linnaosa, Öölase tn 2",24.877103,59.47974720000001,
"Harju maakond, Tallinn, Pirita linnaosa, Kase tn 68",24.8433545,59.45446679999999,
"Harju maakond, Maardu linn, Vesiheina tee 7",24.930749,59.47525210000001,
"Viljandi maakond, Viljandi linn, Kullamäe tn 30",25.6119281,58.37802519999999,
"Viljandi maakond, Viljandi linn, Kullamäe tn 32",25.6123688,58.378134,
"Rapla maakond, Kohila vald, Vilivere küla, Aasu tee 11",24.6894459,59.21577089999999,
"Rapla maakond, Kohila vald, Aespa alevik, Tammelehe tn 42",24.6641801,59.21642129999999,
"Harju maakond, Saue vald, Laagri alevik, Karuvildiku tn 1",24.6069341,59.362084,
"Harju maakond, Keila vald, Valkse küla, Lepa vkt, Lepa tn 5",24.3795711,59.3278639,
"Põlva maakond, Värska vald, Värska alevik, Silla tn 6",27.6294089,57.9559423,
"Pärnu maakond, Audru vald, Papsaare küla, Haapsalu mnt 92",24.4576002,58.3941593,
"Harju maakond, Kuusalu vald, Pärispea küla, Suurekivi",25.6939999,59.6558,
"Harju maakond, Tallinn, Kristiine linnaosa, Räägu tn 53",24.7211839,59.4141708,
"Harju maakond, Tallinn, Haabersti linnaosa, Hansu tn 2/3",24.5554545,59.43690600000001,
"Tartu maakond, Tartu linn, Purpuri tn 12",26.7942434,58.36224550000001,
"Harju maakond, Tallinn, Haabersti linnaosa, Räime tn 10",24.587478,59.44650849999999,
"Harju maakond, Viimsi vald, Lubja küla, Paemäe tee 3",24.8540999,59.51939999999999,
"Harju maakond, Tallinn, Pirita linnaosa, Ubalehe tee 2",24.8593953,59.4849211,
"Tartu maakond, Haaslava vald, Kurepalu küla, Mõraoja vkt 13",26.8379999,58.31299989999999,
"Harju maakond, Maardu linn, Tarasoo tn 11",24.9419473,59.4810634,
"Harju maakond, Kiili vald, Lähtse küla, Kääri tee 26",24.8496045,59.29021470000001,
"Harju maakond, Tallinn, Haabersti linnaosa, Rangu tn 6",24.6079867,59.4320149,
"Harju maakond, Tallinn, Pirita linnaosa, Kõlviku tee 8",24.8757222,59.4834142,
"Tartu maakond, Tartu linn, Ropka tn 24",26.726892100000004,58.3577639,
"Harju maakond, Tallinn, Haabersti linnaosa, Pikaliiva tn 112",24.6164852,59.43237500000001,
"Pärnu maakond, Sauga vald, Tammiste küla, Ristiku tee 1",24.5946,58.38199989999999,
"Harju maakond, Tallinn, Kesklinna linnaosa, Koidu tn 70",24.7315278,59.4261375,
"Harju maakond, Saue vald, Alliku küla, Karupesa tn 1",24.5741102,59.3546297,
"Harju maakond, Tallinn, Pirita linnaosa, Ubalehe tee 18",24.8536741,59.4860088,
"Pärnu maakond, Sauga vald, Tammiste küla, Ristiku tee 8",24.5946,58.38199989999999,
"Tartu maakond, Tartu vald, Vahi alevik, Mõisatorni tn 4",26.7256613,58.40286510000001,
"Harju maakond, Tallinn, Kesklinna linnaosa, J. Vilmsi tn 27",24.7771927,59.4356458,
"Põlva maakond, Vastse-Kuuste vald, Valgemetsa küla, Vahtra",26.977,58.1505,
"Harju maakond, Viimsi vald, Randvere küla, Toome tee 7",24.9022077,59.5044011,
"Harju maakond, Viimsi vald, Randvere küla, Karjaaia tee 5",24.9122141,59.49782629999999,
"Harju maakond, Viimsi vald, Pärnamäe küla, Linnase tee 8",24.860677,59.500649300000006,
"Viljandi maakond, Viljandi linn, Kullamäe tn 22",25.6101904,58.3775863,
"Viljandi maakond, Viljandi linn, Kanepi tn 32",25.611896,58.3783748,
"Harju maakond, Tallinn, Haabersti linnaosa, Roolahe tn 11",24.561403,59.43667979999999,
"Harju maakond, Viimsi vald, Haabneeme alevik, Tammepõllu tee 23",24.8288735,59.51455679999999,
"Harju maakond, Tallinn, Pirita linnaosa, Ubalehe tee 14",24.8553103,59.48567569999999,
"Harju maakond, Tallinn, Pirita linnaosa, Sompa tee 44a",24.8770456,59.4802439,
"Harju maakond, Tallinn, Pirita linnaosa, Rebasesaba tee 7",24.8474115,59.47871869999999,
"Harju maakond, Tallinn, Pirita linnaosa, Rebasesaba tee 10",24.8479883,59.47842519999999,
"Harju maakond, Harku vald, Suurupi küla, Kasevälja tee 17",24.3998802,59.46537120000001,
"Harju maakond, Tallinn, Pirita linnaosa, Rebasesaba tee 16",24.8490521,59.47903829999999,
"Harju maakond, Tallinn, Haabersti linnaosa, Rõugu tn 21",24.612007100000003,59.4288645,
"Harju maakond, Tallinn, Kristiine linnaosa, Siidisaba tn 11a",24.7234598,59.4152533,
"Harju maakond, Tallinn, Pirita linnaosa, Padriku tee 5/2",24.85139460000001,59.48315160000001,
"Lääne-Viru maakond, Vihula vald, Karula küla, Vana-Trahteri",26.2350889,59.53933299999999,
"Harju maakond, Tallinn, Pirita linnaosa, Käokannu tee 2",24.8871495,59.48759939999999,
"Harju maakond, Viimsi vald, Pärnamäe küla, Põllu tee 6",24.8558304,59.501287,
"Harju maakond, Tallinn, Pirita linnaosa, Padriku tee 4/4",24.8488171,59.48203909999999,
"Harju maakond, Viimsi vald, Pärnamäe küla, Suur-Kaare tee 19",24.8484841,59.5061168,
"Rapla maakond, Rapla vald, Rapla linn, Nurmenuku tn 6a",24.7873626,59.00021379999999,
"Lääne-Viru maakond, Vihula vald, Annikvere küla, Võsuri",26.1848229,59.48547689999999,
"Tartu maakond, Ülenurme vald, Soinaste küla, Tõrvandi tee 10",26.695754,58.3231264,
"Harju maakond, Keila linn, Barsbütteli tn 6",24.3975667,59.31005920000001,
"Tartu maakond, Tartu linn, Riia tn 88",26.6998341,58.36431500000001,
"Harju maakond, Saku vald, Juuliku küla, Kuu tee 5",24.6525413,59.313210700000006,
"Tartu maakond, Ülenurme vald, Soinaste küla, Talu tee 7",26.6925066,58.3250569,
"Põlva maakond, Orava vald, Jantra küla, Uibo",27.298569,57.8659699,
"Harju maakond, Tallinn, Pirita linnaosa, Kuusenõmme tee 27",24.8446857,59.47961120000001,
"Jõgeva maakond, Torma vald, Kõnnu küla, Vahtra",26.8077419,58.83739699999999,
"Pärnu maakond, Pärnu linn, Papli tn 30",24.5137886,58.37379000000001,
"Harju maakond, Keila vald, Kloogaranna küla, Adruvahi tee 9",24.2265147,59.340808,
"Järva maakond, Paide linn, Prääma tee 5/8",25.5457063,58.88659990000001,
"Harju maakond, Tallinn, Nõmme linnaosa, Ravila tn 17",24.6878159,59.3796998,
"Ida-Viru maakond, Avinurme vald, Laekannu küla, Uueraja",26.7711909,58.9451849,
"Harju maakond, Harku vald, Muraste küla, Hindreku tn 5",24.4556916,59.45571979999999,
